TIME,LABEL
14.659047619,New Point
15.862857143,New Point
16.259047619,New Point
16.540952381,New Point
16.820317460,New Point
17.244444444,New Point
17.653333333,New Point
18.072380952,New Point
19.276190476,New Point
19.686167800,New Point
20.215873016,New Point
21.075736961,New Point
21.268027211,New Point
21.496598639,New Point
22.712018141,New Point
23.107482993,New Point
23.390476190,New Point
23.658956916,New Point
24.083446712,New Point
24.507936508,New Point
24.907029478,New Point
26.135510204,New Point
26.514285714,New Point
28.336326531,New Point
29.547392290,New Point
29.950113379,New Point
30.222222222,New Point
30.494331066,New Point
30.926077098,New Point
31.336054422,New Point
31.767800454,New Point
32.975963719,New Point
33.371428571,New Point
33.912018141,New Point
34.746485261,New Point
34.949659864,New Point
35.189115646,New Point
36.386394558,New Point
36.781859410,New Point
37.063401361,New Point
37.333333333,New Point
37.760000000,New Point
38.173605442,New Point
38.600272109,New Point
39.801904762,New Point
40.202448980,New Point
40.772789116,New Point
41.605079365,New Point
41.803174603,New Point
