TIME,LABEL
40.881632653,New Point
40.950204082,New Point
41.015510204,New Point
41.084081633,New Point
43.785578231,New Point
43.857414966,New Point
43.935782313,New Point
44.007619048,New Point
44.081632653,New Point
47.201088435,New Point
47.279455782,New Point
47.355646259,New Point
47.434013605,New Point
47.501496599,New Point
47.714829932,New Point
47.786666667,New Point
47.869387755,New Point
47.936870748,New Point
57.123265306,New Point
57.190748299,New Point
57.260408163,New Point
57.465034014,New Point
57.549931973,New Point
57.628299320,New Point
57.687074830,New Point
57.763265306,New Point
57.987482993,New Point
58.054965986,New Point
58.137687075,New Point
58.200816327,New Point
