TIME,LABEL
0.754645833
2.089791667
3.512020833
4.731062500
6.141687500
7.412979167
8.823583333,s
10.193562500,s
11.435833333
11.865395833,s
12.829020833,s
14.117729167
15.243895833,s
15.487708333
16.886708333
17.536875000,s
18.094145833
19.487354167
19.829833333,s
20.799270833
22.157645833,s
23.579854167
24.578312500,s
24.810520833
26.209520833
26.935145833,s
27.498229167
28.879812500
29.303583333,s
30.267208333
31.503666667,s
32.902666667
33.721187500,s
34.185583333
35.555562500
36.043166667,s
36.948750000
37.239000000,s
37.581500000,s
37.982041667,s
38.202625000,s
38.341958333,s
38.707666667,s
39.468125000,s
40.582666667,s
40.884541667
41.923625000,s
42.266125000
42.422854167,s
42.805979167,s
43.670937500,s
44.878375000
45.540145833,s
46.277375000
46.677916667,s
47.078458333,s
47.467395833,s
48.390395833,s
48.924437500
50.189937500,s
50.335062500
51.188395833,s
51.554104167,s
51.925625000,s
52.895062500,s
53.974791667,s
54.236000000
54.706208333,s
55.292520833,s
55.582770833,s
56.656687500,s
57.004979167
57.986041667,s
58.258875000
59.176062500,s
59.652062500,s
60.029395833,s
60.273187500,s
60.934958333,s
61.567708333,s
61.939229167,s
62.066937500,s
62.322354167
62.775145833,s
63.703937500
64.226395833,s
64.940416667,s
65.451250000,s
65.956270833,s
66.327791667,s
67.285625000,s
67.610708333
68.382770833,s
69.009708333,s
69.781770833,s
70.397104167
70.495791667,s
71.238812500,s
71.627750000
71.952833333,s
72.434645833,s
72.817770833,s
73.032562500
73.676916667,s
74.321270833
74.414145833,s
75.279083333,s
75.702854167
76.225312500,s
76.591020833,s
76.933520833,s
77.067020833
77.635916667,s
78.320916667,s
79.714104167
80.967979167
