TIME,LABEL,PITCH_HZ_YIN,PITCH_HZ_PIPTRACK,PITCH_HZ_CREPE,PITCH_HZ_PARS,PITCH_NOTE_YIN,PITCH_NOTE_PIPTRACK,PITCH_NOTE_CREPE,PITCH_NOTE_PARS,MIDI_NOTE_YIN,MIDI_NOTE_PIPTRACK,MIDI_NOTE_CREPE,MIDI_NOTE_PARS,LABEL_MANUAL,MIDI_NOTE_MANUAL
8.823583333,s,672.0153430056829,633.25073,594.4513961333973,680.9597046055933,E5,D♯5,D5,F5,76,75,74,77,C#5,73.0
10.1935625,s,694.3058431052386,768.9321,611.9104168947354,1103.9110383069594,F5,G5,D♯5,C♯6,77,79,75,85,C#5,73.0
11.865395833,s,567.1792659167987,633.7506,610.3434547175932,591.1592634368188,C♯5,D♯5,D♯5,D5,73,75,75,74,C#5,73.0
12.829020833,s,647.459480349036,694.7623,605.8122974727772,814.0320761909599,E5,F5,D♯5,G♯5,76,77,75,80,C#5,73.0
15.243895833,s,704.0216344061535,744.1288,658.7817523956504,890.5599543223221,F5,F♯5,E5,A5,77,78,76,81,E5,76.0
17.536875,s,739.7826359897074,881.2718,809.0719246844416,965.6460585328662,F♯5,A5,G♯5,B5,78,81,80,83,A#5,82.0
19.829833333,s,691.3412147435623,869.95465,653.8531815752466,1166.6586125065883,F5,A5,E5,D6,77,81,76,86,B5,83.0
22.157645833,s,628.8317034249148,640.974,621.3834278831137,556.8874771337873,D♯5,E5,D♯5,C♯5,75,76,75,73,C5,72.0
24.5783125,s,630.8581546952071,759.1291,598.9051037652112,757.1177437501864,D♯5,F♯5,D5,F♯5,75,78,74,78,C#5,73.0
26.935145833,s,708.3918962154298,758.8281,705.7163446510486,849.1255430223305,F5,F♯5,F5,G♯5,77,78,77,80,G5,79.0
29.303583333,s,677.044014909536,652.84906,670.969158103957,724.0520789601542,E5,E5,E5,F♯5,76,76,76,78,F#5,78.0
31.503666667,s,480.53117435647,653.2614,596.4128816498663,520.2166553238012,B4,E5,D5,C5,71,76,74,72,H4,
33.7211875,s,669.1811253186851,729.85754,678.3353187140997,789.9667859631603,E5,F♯5,E5,G5,76,78,76,79,F#5,78.0
36.043166667,s,387.32537457438184,556.8025,603.0519144659476,454.7681310420797,G4,C♯5,D5,A♯4,67,73,74,70,A#4,70.0
37.239,s,590.4295268186239,607.38245,530.0790436586818,554.7906495348374,D5,D♯5,C5,C♯5,74,75,72,73,F#5,78.0
37.5815,s,529.9797015124241,552.1439,501.1328444591559,440.48471258922956,C5,C♯5,B4,A4,72,73,71,69,C5,72.0
37.982041667,s,565.6300008544349,566.3568,554.8010424108131,514.2198454148942,C♯5,C♯5,C♯5,C5,73,73,73,72,A#4,70.0
38.202625,s,553.0487570349951,583.2636,586.5795847067811,527.687263574539,C♯5,D5,D5,C5,73,74,74,72,F#5,78.0
38.341958333,s,538.0950502006317,553.8986,610.8173898809233,603.2404280243497,C5,C♯5,D♯5,D5,72,73,75,74,F#5,78.0
38.707666667,s,431.0299607164376,528.99255,546.7616693661121,493.6946294718663,A4,C5,C♯5,B4,69,72,73,71,H4,
