TIME,LABEL
0.317460317,1.1
0.489795918,1.2
0.676643991,1.3
0.818140590,1.4
1.017687075,2.1
1.179138322,2.2
1.376870748,2.3
1.525623583,2.4
1.725170068,3.1
1.870294785,3.2
2.046258503,3.3
2.216780045,3.4
2.387301587,4.1
2.554195011,4.2
2.730158730,4.3
2.873469388,4.4
3.074829932,5.1
3.247165533,5.2
3.435827664,5.3
3.586394558,5.4
3.775056689,6.1
3.932879819,6.2
4.128798186,6.3
4.277551020,6.4
4.471655329,7.1
4.624036281,7.2
4.801814059,7.3
4.966893424,7.4
5.153741497,8.1
5.306122449,8.2
5.498412698,8.3
5.647165533,8.4
5.841269841,9.1
6.002721088,9.2
6.171428571,9.3
6.334693878,9.4
6.526984127,10.1
6.679365079,10.2
6.860770975,10.3
7.027664399,10.4
7.234467120,11.1
7.361451247,11.2
7.553741497,11.3
7.715192744,11.4
7.891156463,12.1
8.056235828,12.2
8.235827664,12.3
8.375510204,12.4
8.578684807,13.1
8.752834467,13.2
8.937868481,13.3
9.088435374,13.4
9.278911565,14.1
9.438548753,14.2
9.638095238,14.3
9.788662132,14.4
9.984580499,15.1
10.129705215,15.2
10.305668934,15.3
10.474376417,15.4
10.800907029,16.1
10.984126984,16.2
11.123809524,16.3
11.330612245,16.4
11.499319728,17.1
11.684353741,17.2
11.833106576,17.3
12.029024943,17.4
12.185034014,18.1
12.388208617,18.2
12.531519274,18.3
12.734693878,18.4
12.867120181,19.1
13.052154195,19.2
13.226303855,19.3
13.405895692,19.4
13.556462585,20.1
13.753650794,20.3
13.900952381,20.4
14.090158730,21.1
14.261587302,21.2
14.430476190,21.3
14.587936508,21.4
14.780952381,22.1
14.940952381,22.2
15.121269841,22.3
15.286349206,22.4
15.485714286,23.1
15.612698413,23.2
15.814603175,23.3
15.970793651,23.4
16.147301587,24.1
16.312380952,24.2
16.488888889,24.3
16.634920635,24.4
16.833015873,25.1
17.009523810,25.2
17.200000000,25.3
17.340952381,25.4
17.536507937,26.1
17.687619048,26.2
17.892063492,26.3
18.034285714,26.4
18.242539683,27.1
18.384761905,27.2
18.562539683,27.3
18.725079365,27.4
18.916825397,28.1
19.065396825,28.2
19.258412698,28.3
19.409523810,28.4
19.606349206,29.1
19.766349206,29.2
19.931428571,29.3
20.095238095,29.4
20.286984127,30.1
20.444444444,30.2
20.627301587,30.3
20.791111111,30.4
20.990476190,31.1
21.117460317,31.3
21.313015873,31.4
21.476825397,32.1
21.652063492,32.2
21.808253968,32.3
21.991111111,32.4
22.135873016,33.1
22.330158730,33.2
22.506666667,33.3
22.695873016,33.4
22.844444444,34.1
23.040000000,34.2
23.197460317,34.3
23.540317460,34.4
23.744761905,35.1
23.878095238,35.2
24.063492063,35.3
24.226031746,35.4
24.415238095,36.1
24.567619048,36.2
24.760634921,36.3
24.919365079,36.4
25.107301587,37.1
25.268571429,37.2
25.442539683,37.3
25.602539683,37.4
25.786666667,38.1
25.949206349,38.2
26.133333333,38.3
26.295873016,38.4
26.492698413,39.1
26.620952381,39.2
26.817777778,39.3
26.986666667,39.4
27.158095238,40.1
27.321904762,40.2
27.499682540,40.3
27.648253968,40.4
27.841269841,41.1
28.010158730,41.2
28.201904762,41.3
28.353015873,41.4
28.543492063,42.1
28.700952381,42.2
28.900317460,42.3
29.041269841,42.4
29.244444444,43.1
29.390476190,43.2
29.565714286,43.3
29.732063492,43.4
29.920000000,44.1
30.071111111,44.2
30.264126984,44.3
30.413968254,44.4
30.608253968,45.1
30.769523810,45.2
30.943492063,45.3
31.094603175,45.4
31.296507937,46.1
31.451428571,46.2
31.634285714,46.3
31.800634921,46.4
31.998730159,47.1
32.118095238,47.2
32.321269841,47.3
32.482539683,47.4
32.659047619,48.1
32.822857143,48.2
33.000634921,48.3
33.139047619,48.4
33.346031746,49.1
33.518730159,49.2
33.706666667,49.3
33.857777778,49.4
34.054603175,50.1
34.205714286,50.2
34.403809524,50.3
34.556190476,50.4
34.750476190,51.1
34.892698413,51.2
35.065396825,51.3
35.236825397,51.4
35.426031746,52.1
35.575873016,52.2
35.771428571,52.3
35.923809524,52.4
36.110476190,53.1
36.274285714,53.2
36.448253968,53.3
36.605714286,53.4
36.802539683,54.1
36.957460317,54.2
37.140317460,54.3
37.306666667,54.4
37.502222222,55.1
37.633015873,55.2
37.826757370,55.4
37.993650794,56.1
38.163446712,56.2
38.325986395,56.3
38.511746032,56.4
38.653968254,57.1
38.852789116,57.2
39.025487528,57.3
39.211247166,57.4
39.356371882,58.1
39.555192744,58.2
39.711927438,58.3
39.915102041,58.4
40.054421769,59.1
40.256145125,59.2
40.578321995,59.3
40.745215420,59.4
40.932426304,60.1
41.081904762,60.2
