TIME,LABEL
0.110294785,n
0.400544218,r
2.618049887,r
4.858775510,r
7.082086168,r
9.322811791,r
11.528707483,r
13.775238095,r
16.015963719,r 
18.210249433,r
20.485804989,r 
22.709115646,r
23.434739229,n
23.986213152,n
24.473832200,n
24.955646259,r-
25.681269841,n
26.226938776,n
26.679727891,n
27.173151927,r
27.904580499,n
28.461859410,n
28.926258503,n
29.419682540,r
30.151111111,n
30.690975057,n
31.137959184,n
31.642993197,r-
32.374421769,n
32.920090703,n
33.396099773,n
33.889523810,r-
34.615147392,n
35.160816327,n
35.601995465,n
36.112834467,r-
36.861678005,n
37.413151927,n
37.889160998,r
38.376780045,r-
39.108208617,n
39.648072562,n
40.095056689,r
40.600090703,r-
41.331519274,n
41.877188209,n
42.353197279,r
42.840816327,r-
43.537414966,n
44.117913832,n
44.570702948,r
45.069931973,r
45.795555556,n
46.352834467,n
46.817233560,r
47.310657596,r
48.042086168,n
48.581950113,n
49.057959184,r
49.533968254,r
50.265396825,n
50.816870748,n
51.281269841,r
51.780498866,r
52.506122449,r
53.045986395,n
53.510385488,n
53.998004535,n
54.717823129,r
55.286712018,n
55.768526077,n
56.244535147,n
56.964353741,r
57.510022676,n
57.974421769,n
58.467845805,n
59.170249433,r
59.750748299,n
60.232562358,n
60.673741497,n
61.416780045,n
61.968253968,r
62.461678005,r
62.937687075,n
63.663310658,n
64.203174603,r
64.667573696,r
65.155192744,n
65.886621315,n
66.432290249,r
66.919909297,r
67.401723356,n
68.127346939,n
68.673015873,n
69.125804989,r
69.625034014,r
